mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6952,,"{'TODOS': 2, 'CAMBIO': 1, 'MORENA': 1, 'VAMOS': 28, 'PIN': 0, 'RENOVADOR': 27, 'VALOR': 21, 'AZUL': 3, 'UNE': 2, 'FCN-NACION': 0, 'PODEMOS': 2, 'UC': 4}",4,9,104,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
6953,,"{'TODOS': 4, 'CAMBIO': 10, 'MORENA': 51, 'VAMOS': 67, 'PIN': 1, 'RENOVADOR': 33, 'VALOR': 37, 'AZUL': 3, 'UNE': 4, 'FCN-NACION': 1, 'PODEMOS': 9, 'UC': 1}",3,13,237,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6954,,"{'TODOS': 2, 'CAMBIO': 9, 'MORENA': 48, 'VAMOS': 53, 'PIN': 1, 'RENOVADOR': 35, 'VALOR': 46, 'AZUL': 0, 'UNE': 6, 'FCN-NACION': 0, 'PODEMOS': 6, 'UC': 1}",7,17,231,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6955,,"{'TODOS': 6, 'CAMBIO': 13, 'MORENA': 28, 'VAMOS': 65, 'PIN': 1, 'RENOVADOR': 36, 'VALOR': 59, 'AZUL': 3, 'UNE': 2, 'FCN-NACION': 1, 'PODEMOS': 3, 'UC': 0}",3,30,250,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6956,,"{'TODOS': 1, 'CAMBIO': 6, 'MORENA': 46, 'VAMOS': 66, 'PIN': 2, 'RENOVADOR': 27, 'VALOR': 48, 'AZUL': 1, 'UNE': 4, 'FCN-NACION': 0, 'PODEMOS': 5, 'UC': 0}",7,17,230,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6957,,"{'TODOS': 1, 'CAMBIO': 17, 'MORENA': 44, 'VAMOS': 53, 'PIN': 1, 'RENOVADOR': 36, 'VALOR': 63, 'AZUL': 0, 'UNE': 9, 'FCN-NACION': 0, 'PODEMOS': 8, 'UC': 1}",3,19,255,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6958,,"{'TODOS': 4, 'CAMBIO': 13, 'MORENA': 32, 'VAMOS': 55, 'PIN': 1, 'RENOVADOR': 24, 'VALOR': 44, 'AZUL': 0, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 8, 'UC': 0}",2,12,196,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6959,,"{'TODOS': 0, 'CAMBIO': 16, 'MORENA': 47, 'VAMOS': 55, 'PIN': 1, 'RENOVADOR': 28, 'VALOR': 36, 'AZUL': 0, 'UNE': 10, 'FCN-NACION': 1, 'PODEMOS': 9, 'UC': 0}",5,18,226,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6960,,"{'TODOS': 2, 'CAMBIO': 13, 'MORENA': 56, 'VAMOS': 58, 'PIN': 0, 'RENOVADOR': 33, 'VALOR': 45, 'AZUL': 1, 'UNE': 4, 'FCN-NACION': 2, 'PODEMOS': 6, 'UC': 0}",8,15,243,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6961,,"{'TODOS': 4, 'CAMBIO': 9, 'MORENA': 61, 'VAMOS': 36, 'PIN': 0, 'RENOVADOR': 34, 'VALOR': 43, 'AZUL': 0, 'UNE': 7, 'FCN-NACION': 2, 'PODEMOS': 7, 'UC': 1}",8,9,221,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6962,,"{'TODOS': 2, 'CAMBIO': 8, 'MORENA': 55, 'VAMOS': 35, 'PIN': 0, 'RENOVADOR': 24, 'VALOR': 40, 'AZUL': 0, 'UNE': 1, 'FCN-NACION': 2, 'PODEMOS': 3, 'UC': 0}",2,15,187,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6963,,"{'TODOS': 4, 'CAMBIO': 20, 'MORENA': 36, 'VAMOS': 38, 'PIN': 1, 'RENOVADOR': 18, 'VALOR': 50, 'AZUL': 0, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 2, 'UC': 1}",3,12,188,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6964,,"{'TODOS': 4, 'CAMBIO': 12, 'MORENA': 44, 'VAMOS': 55, 'PIN': 1, 'RENOVADOR': 31, 'VALOR': 57, 'AZUL': 0, 'UNE': 4, 'FCN-NACION': 0, 'PODEMOS': 6, 'UC': 0}",2,4,220,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6965,,"{'TODOS': 2, 'CAMBIO': 4, 'MORENA': 27, 'VAMOS': 35, 'PIN': 0, 'RENOVADOR': 18, 'VALOR': 26, 'AZUL': 0, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 2, 'UC': 0}",2,6,123,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6966,,"{'TODOS': 2, 'CAMBIO': 5, 'MORENA': 20, 'VAMOS': 20, 'PIN': 0, 'RENOVADOR': 21, 'VALOR': 26, 'AZUL': 0, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",1,5,101,0,--,Algún campo sin dato,0761,El Progreso,San Agustín Acasaguastlán,alcalde
6967,,"{'TODOS': 5, 'CAMBIO': 4, 'MORENA': 9, 'VAMOS': 25, 'PIN': 3, 'RENOVADOR': 62, 'VALOR': 47, 'AZUL': 1, 'UNE': 6, 'FCN-NACION': 0, 'PODEMOS': 3, 'UC': 2}",6,17,190,0,--,Algún campo sin dato,0762,El Progreso,San Agustín Acasaguastlán,alcalde
6968,,"{'TODOS': 1, 'CAMBIO': 5, 'MORENA': 1, 'VAMOS': 8, 'PIN': 1, 'RENOVADOR': 24, 'VALOR': 23, 'AZUL': 3, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 2, 'UC': 0}",0,8,79,0,--,Algún campo sin dato,0762,El Progreso,San Agustín Acasaguastlán,alcalde
6969,,"{'TODOS': 1, 'CAMBIO': 3, 'MORENA': 3, 'VAMOS': 7, 'PIN': 0, 'RENOVADOR': 13, 'VALOR': 6, 'AZUL': 0, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",0,0,34,0,--,Algún campo sin dato,0762,El Progreso,San Agustín Acasaguastlán,alcalde
